"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;;
Código del Gran Grupo;Código de la Ocupación;Nombre de la Ocupación;ID;Nombre de la Destreza;
1;13230;Directores y gerentes de empresas de construcción / Directoras y gerentas de empresas de construcción;32;Gestión del Talento Humano y de Personal;
1;13230;Directores y gerentes de empresas de construcción / Directoras y gerentas de empresas de construcción;30;Gestión de recursos financieros;
1;13230;Directores y gerentes de empresas de construcción / Directoras y gerentas de empresas de construcción;31;Gestión de recursos materiales;
1;13230;Directores y gerentes de empresas de construcción / Directoras y gerentas de empresas de construcción;33;Liderazgo;
1;13241;Directores y gerentes de compras y adquisiciones / Directoras y gerentas de compras y adquisiciones;1;Comprensión de lectura;
1;13241;Directores y gerentes de compras y adquisiciones / Directoras y gerentas de compras y adquisiciones;4;Comunicación asertiva;
1;13241;Directores y gerentes de compras y adquisiciones / Directoras y gerentas de compras y adquisiciones;28;Criterio y toma de decisiones;
1;13241;Directores y gerentes de compras y adquisiciones / Directoras y gerentas de compras y adquisiciones;9;Evaluación y control de actividades;
1;13241;Directores y gerentes de compras y adquisiciones / Directoras y gerentas de compras y adquisiciones;6;Pensamiento crítico;
1;13241;Directores y gerentes de compras y adquisiciones / Directoras y gerentas de compras y adquisiciones;16;Resolución de problemas complejos;
1;13241;Directores y gerentes de compras y adquisiciones / Directoras y gerentas de compras y adquisiciones;34;Trabajo bajo presión;
1;13242;Directores y gerentes de servicios de correo y mensajería / Directoras y gerentas de servicios de correo y mensajería;1;Comprensión de lectura;
1;13242;Directores y gerentes de servicios de correo y mensajería / Directoras y gerentas de servicios de correo y mensajería;4;Comunicación asertiva;
1;13242;Directores y gerentes de servicios de correo y mensajería / Directoras y gerentas de servicios de correo y mensajería;2;Escucha activa;
1;13242;Directores y gerentes de servicios de correo y mensajería / Directoras y gerentas de servicios de correo y mensajería;9;Evaluación y control de actividades;
1;13242;Directores y gerentes de servicios de correo y mensajería / Directoras y gerentas de servicios de correo y mensajería;6;Pensamiento crítico;
1;13242;Directores y gerentes de servicios de correo y mensajería / Directoras y gerentas de servicios de correo y mensajería;11;Trabajo en equipo;
1;13243;Directores y gerentes de transporte, distribución y logística / Directoras y gerentas de transporte, distribución y logística;4;Comunicación asertiva;
1;13243;Directores y gerentes de transporte, distribución y logística / Directoras y gerentas de transporte, distribución y logística;28;Criterio y toma de decisiones;
1;13243;Directores y gerentes de transporte, distribución y logística / Directoras y gerentas de transporte, distribución y logística;9;Evaluación y control de actividades;
1;13243;Directores y gerentes de transporte, distribución y logística / Directoras y gerentas de transporte, distribución y logística;33;Liderazgo;
1;13243;Directores y gerentes de transporte, distribución y logística / Directoras y gerentas de transporte, distribución y logística;6;Pensamiento crítico;
1;13243;Directores y gerentes de transporte, distribución y logística / Directoras y gerentas de transporte, distribución y logística;16;Resolución de problemas complejos;
1;13243;Directores y gerentes de transporte, distribución y logística / Directoras y gerentas de transporte, distribución y logística;34;Trabajo bajo presión;
1;13244;Directores y gerentes de cadena de suministro / Directoras y gerentas de cadena de suministro;4;Comunicación asertiva;
1;13244;Directores y gerentes de cadena de suministro / Directoras y gerentas de cadena de suministro;28;Criterio y toma de decisiones;
1;13244;Directores y gerentes de cadena de suministro / Directoras y gerentas de cadena de suministro;9;Evaluación y control de actividades;
1;13244;Directores y gerentes de cadena de suministro / Directoras y gerentas de cadena de suministro;6;Pensamiento crítico;
1;13244;Directores y gerentes de cadena de suministro / Directoras y gerentas de cadena de suministro;16;Resolución de problemas complejos;
1;13244;Directores y gerentes de cadena de suministro / Directoras y gerentas de cadena de suministro;34;Trabajo bajo presión;
1;13244;Directores y gerentes de cadena de suministro / Directoras y gerentas de cadena de suministro;11;Trabajo en equipo;
1;13301;Directores y gerentes de telecomunicaciones / Directoras y gerentas de telecomunicaciones;17;Análisis de necesidades;
1;13301;Directores y gerentes de telecomunicaciones / Directoras y gerentas de telecomunicaciones;1;Comprensión de lectura;
1;13301;Directores y gerentes de telecomunicaciones / Directoras y gerentas de telecomunicaciones;9;Evaluación y control de actividades;
1;13301;Directores y gerentes de telecomunicaciones / Directoras y gerentas de telecomunicaciones;6;Pensamiento crítico;
1;13301;Directores y gerentes de telecomunicaciones / Directoras y gerentas de telecomunicaciones;16;Resolución de problemas complejos;
1;13301;Directores y gerentes de telecomunicaciones / Directoras y gerentas de telecomunicaciones;14;Transmisión de conocimiento;
1;13301;Directores y gerentes de telecomunicaciones / Directoras y gerentas de telecomunicaciones;23;Vigilancia de las operaciones;
1;13302;Directores y gerentes de sistemas de información y procesamiento de datos / Directoras y gerentas de sistemas de información y procesamiento de datos;17;Análisis de necesidades;
1;13302;Directores y gerentes de sistemas de información y procesamiento de datos / Directoras y gerentas de sistemas de información y procesamiento de datos;27;Análisis de procesos;
1;13302;Directores y gerentes de sistemas de información y procesamiento de datos / Directoras y gerentas de sistemas de información y procesamiento de datos;1;Comprensión de lectura;
