"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;;;
Código de la Ocupación;Nombre de la Ocupación;Código CIUO-08;Observaciones sobre la CIUO-08;Código CNO;Observaciones sobre la CNO;
21323;Extensionistas agropecuarios y forestales de bosques naturales;;;2125*;Denominaciones parciales;
21331;Profesionales ambientales y ecologistas;2133*;Denominaciones parciales;"2121*";Denominaciones parciales;
21331;Profesionales ambientales y ecologistas;;;2124*;Denominaciones parciales;
21332;Profesionales en gestión de riesgo de desastres;2133*;Denominaciones parciales;4176*;Denominaciones parciales;
21410;Ingenieros industriales y de producción / Ingenieras industriales y de producción;2141;Denominaciones completas;"1122*";Denominaciones parciales;
21410;Ingenieros industriales y de producción / Ingenieras industriales y de producción;;;2233*;Denominaciones parciales;
21420;Ingenieros civiles / Ingenieras civiles;2142*;Denominaciones parciales;"2131*";Denominaciones parciales;
21420;Ingenieros civiles / Ingenieras civiles;;;2231*;Denominaciones parciales;
21430;Ingenieros medioambientales / Ingenieras medioambientales;2143;Denominaciones completas;"2124*";Denominaciones parciales;
21430;Ingenieros medioambientales / Ingenieras medioambientales;;;"2146*";Denominaciones parciales;
21430;Ingenieros medioambientales / Ingenieras medioambientales;;;"2152*";Denominaciones parciales;
21430;Ingenieros medioambientales / Ingenieras medioambientales;;;4175*;Denominaciones parciales;
21441;Ingenieros mecánicos / Ingenieras mecánicas;2144*;Denominaciones parciales;"2132*";Denominaciones parciales;
21441;Ingenieros mecánicos / Ingenieras mecánicas;;;"2136*";Denominaciones parciales;
21441;Ingenieros mecánicos / Ingenieras mecánicas;;;2232*;Denominaciones parciales;
21442;Ingenieros navales / Ingenieras navales;2144*;Denominaciones parciales;"2132*";Denominaciones parciales;
21442;Ingenieros navales / Ingenieras navales;;;"2138";Denominaciones completas;
21442;Ingenieros navales / Ingenieras navales;;;2146*;Denominaciones parciales;
21443;Ingenieros aeronáuticos / Ingenieras aeronáuticas;"2142*";Denominaciones parciales;"2131*";Denominaciones parciales;
21443;Ingenieros aeronáuticos / Ingenieras aeronáuticas;"2144*";Denominaciones parciales;"2132*";Denominaciones parciales;
21443;Ingenieros aeronáuticos / Ingenieras aeronáuticas;2152*;Denominaciones parciales;2146*;Denominaciones parciales;
21450;Ingenieros químicos / Ingenieras químicas;2145*;Denominaciones parciales;"2135";Denominaciones completas;
21450;Ingenieros químicos / Ingenieras químicas;;;"2144*";Denominaciones parciales;
21450;Ingenieros químicos / Ingenieras químicas;;;"2146*";Denominaciones parciales;
21450;Ingenieros químicos / Ingenieras químicas;;;"2211*";Denominaciones parciales;
21450;Ingenieros químicos / Ingenieras químicas;;;2233*;Denominaciones parciales;
21461;Ingenieros de minas / Ingenieras de minas;2146*;Denominaciones parciales;"2143";Denominaciones completas;
21461;Ingenieros de minas / Ingenieras de minas;;;2212*;Denominaciones parciales;
21462;Ingenieros metalúrgicos / Ingenieras metalúrgicas;2146*;Denominaciones parciales;"2142*";Denominaciones parciales;
21462;Ingenieros metalúrgicos / Ingenieras metalúrgicas;;;2212*;Denominaciones parciales;
21463;Ingenieros de petróleo y gas / Ingenieras de petróleo y gas;"2142*";Denominaciones parciales;"2131*";Denominaciones parciales;
21463;Ingenieros de petróleo y gas / Ingenieras de petróleo y gas;2146*;Denominaciones parciales;2144*;Denominaciones parciales;
21491;Ingenieros de materiales / Ingenieras de materiales;2149*;Denominaciones parciales;"2142*";Denominaciones parciales;
21491;Ingenieros de materiales / Ingenieras de materiales;;;"2146*";Denominaciones parciales;
21491;Ingenieros de materiales / Ingenieras de materiales;;;2233*;Denominaciones parciales;
21492;Ingenieros biomédicos y biológicos / Ingenieras biomédicas y biológicas;"2145*";Denominaciones parciales;"2134*";Denominaciones parciales;
21492;Ingenieros biomédicos y biológicos / Ingenieras biomédicas y biológicas;2149*;Denominaciones parciales;2146*;Denominaciones parciales;
21499;Ingenieros no clasificados en otras ocupaciones / Ingenieras no clasificadas en otras ocupaciones;2149*;Denominaciones parciales;"2141*";Denominaciones parciales;
21499;Ingenieros no clasificados en otras ocupaciones / Ingenieras no clasificadas en otras ocupaciones;;;2146*;Denominaciones parciales;
21510;Ingenieros electricistas / Ingenieras electricistas;2151;Denominaciones completas;2133;Denominaciones completas;
21521;Ingenieros electrónicos / Ingenieras electrónicas;2152*;Denominaciones parciales;"2111*";Denominaciones parciales;
21521;Ingenieros electrónicos / Ingenieras electrónicas;;;2134*;Denominaciones parciales;
21522;Ingenieros de automatización e instrumentación / Ingenieras de automatización e instrumentación;"2149*";Denominaciones parciales;"2134*";Denominaciones parciales;
21522;Ingenieros de automatización e instrumentación / Ingenieras de automatización e instrumentación;2152*;Denominaciones parciales;2136*;Denominaciones parciales;
21531;Ingenieros de telecomunicaciones / Ingenieras de telecomunicaciones;"2153*";Denominaciones parciales;"2137*";Denominaciones parciales;
21531;Ingenieros de telecomunicaciones / Ingenieras de telecomunicaciones;2511*;Denominaciones parciales;2245*;Denominaciones parciales;
21532;Ingenieros y productores de audio y sonido / Ingenieras y productoras de audio y sonido;"2142*";Denominaciones parciales;"2131*";Denominaciones parciales;
21532;Ingenieros y productores de audio y sonido / Ingenieras y productoras de audio y sonido;2153*;Denominaciones parciales;2147;Denominaciones completas;
