"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;;
Código del Gran Grupo;Código de la Ocupación;Nombre de la Ocupación;SIGLA;Área de Cualificación Principal;
2;25130;Desarrolladores Web y multimedia / Desarrolladoras Web y multimedia;TICO;Tecnologías de la información y las comunicaciones;
2;25140;Programadores de aplicaciones / Programadoras de aplicaciones;TICO;Tecnologías de la información y las comunicaciones;
2;25190;Desarrolladores y analistas de software y multimedia no clasificados en otras ocupaciones / Desarrolladoras y analistas de software y multimedia no clasificadas en otras ocupaciones;TICO;Tecnologías de la información y las comunicaciones;
2;25210;Diseñadores y administradores de bases de datos / Diseñadoras y administradoras de bases de datos;TICO;Tecnologías de la información y las comunicaciones;
2;25220;Administradores de sistemas / Administradoras de sistemas;TICO;Tecnologías de la información y las comunicaciones;
2;25230;Profesionales en redes de computadores;TICO;Tecnologías de la información y las comunicaciones;
2;25290;Profesionales en bases de datos y en redes de computadores no clasificados en otras ocupaciones;TICO;Tecnologías de la información y las comunicaciones;
2;26110;Abogados / Abogadas;AFDE;Administración, finanzas y derecho;
2;26120;Jueces / Juezas;AFDE;Administración, finanzas y derecho;
2;26191;Profesionales en ciencias forenses;AFDE;Administración, finanzas y derecho;
2;26199;Profesionales en derecho no clasificados en otras ocupaciones;AFDE;Administración, finanzas y derecho;
2;26211;Archivistas;AFDE;Administración, Finanzas Y Derecho;
2;26212;Curadores de artes visuales y plásticas y de patrimonio cultural / Curadoras de artes visuales y plásticas y de patrimonio cultural;AVPP;Artes visuales, plásticas y del patrimonio cultural;
2;26213;Curadores y supervisores musicales / Curadoras y supervisoras musicales;AVPP;Artes visuales, plásticas y del patrimonio cultural;
2;26214;Museólogos y museógrafos / Museólogas y museógrafas;AVPP;Artes visuales, plásticas y del patrimonio cultural;
2;26215;Restauradores y conservadores de patrimonio cultural mueble / Restauradoras y conservadoras de patrimonio cultural mueble;AVPP;Artes visuales, plásticas y del patrimonio cultural;
2;26216;Restauradores y conservadores de patrimonio cultural construido / Restauradoras y conservadoras de patrimonio cultural construido;AVPP;Artes visuales, plásticas y del patrimonio cultural;
