"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;;
Código del Gran Grupo;Código de la Ocupación;Nombre de la Ocupación;ID;Nombre del Conocimiento;
1;13303;Directores y gerentes de comunicaciones y audiovisuales / Directoras y gerentas de comunicaciones y audiovisuales;6;Gestión del talento humano y de personal;
1;13303;Directores y gerentes de comunicaciones y audiovisuales / Directoras y gerentas de comunicaciones y audiovisuales;36;Manejo de las TIC;
1;13303;Directores y gerentes de comunicaciones y audiovisuales / Directoras y gerentas de comunicaciones y audiovisuales;30;Periodismo, comunicación y reportajes;
1;13303;Directores y gerentes de comunicaciones y audiovisuales / Directoras y gerentas de comunicaciones y audiovisuales;5;Servicio al cliente;
1;13303;Directores y gerentes de comunicaciones y audiovisuales / Directoras y gerentas de comunicaciones y audiovisuales;90;Técnicas audiovisuales y producción para medios de comunicación;
1;13410;Directores y gerentes de servicios de cuidados infantiles / Directoras y gerentas de servicios de cuidados infantiles;42;Atención, protección y servicios a la infancia, adolescencia y juventud;
1;13410;Directores y gerentes de servicios de cuidados infantiles / Directoras y gerentas de servicios de cuidados infantiles;22;Educación y capacitación;
1;13410;Directores y gerentes de servicios de cuidados infantiles / Directoras y gerentas de servicios de cuidados infantiles;1;Gerencia y administración;
1;13410;Directores y gerentes de servicios de cuidados infantiles / Directoras y gerentas de servicios de cuidados infantiles;6;Gestión del talento humano y de personal;
1;13410;Directores y gerentes de servicios de cuidados infantiles / Directoras y gerentas de servicios de cuidados infantiles;36;Manejo de las TIC;
1;13410;Directores y gerentes de servicios de cuidados infantiles / Directoras y gerentas de servicios de cuidados infantiles;41;Primeros auxilios;
1;13410;Directores y gerentes de servicios de cuidados infantiles / Directoras y gerentas de servicios de cuidados infantiles;85;Seguridad y salud en el trabajo;
1;13420;Directores y gerentes de servicios de salud / Directoras y gerentas de servicios de salud;22;Educación y capacitación;
1;13420;Directores y gerentes de servicios de salud / Directoras y gerentas de servicios de salud;1;Gerencia y administración;
1;13420;Directores y gerentes de servicios de salud / Directoras y gerentas de servicios de salud;6;Gestión del talento humano y de personal;
1;13420;Directores y gerentes de servicios de salud / Directoras y gerentas de servicios de salud;28;Leyes y gobierno;
1;13420;Directores y gerentes de servicios de salud / Directoras y gerentas de servicios de salud;36;Manejo de las TIC;
1;13420;Directores y gerentes de servicios de salud / Directoras y gerentas de servicios de salud;21;Medicina;
1;13420;Directores y gerentes de servicios de salud / Directoras y gerentas de servicios de salud;5;Servicio al cliente;
1;13430;Directores y gerentes de servicios de atención a personas mayores / Directoras y gerentas de servicios de atención a personas mayores;22;Educación y capacitación;
1;13430;Directores y gerentes de servicios de atención a personas mayores / Directoras y gerentas de servicios de atención a personas mayores;1;Gerencia y administración;
1;13430;Directores y gerentes de servicios de atención a personas mayores / Directoras y gerentas de servicios de atención a personas mayores;6;Gestión del talento humano y de personal;
1;13430;Directores y gerentes de servicios de atención a personas mayores / Directoras y gerentas de servicios de atención a personas mayores;28;Leyes y gobierno;
1;13430;Directores y gerentes de servicios de atención a personas mayores / Directoras y gerentas de servicios de atención a personas mayores;21;Medicina;
1;13430;Directores y gerentes de servicios de atención a personas mayores / Directoras y gerentas de servicios de atención a personas mayores;5;Servicio al cliente;
1;13430;Directores y gerentes de servicios de atención a personas mayores / Directoras y gerentas de servicios de atención a personas mayores;18;Sicología / psicología;
1;13440;Directores y gerentes de servicios de bienestar social, comunitario y correccional / Directoras y gerentas de servicios de bienestar social, comunitario y correccional;22;Educación y capacitación;
1;13440;Directores y gerentes de servicios de bienestar social, comunitario y correccional / Directoras y gerentas de servicios de bienestar social, comunitario y correccional;1;Gerencia y administración;
1;13440;Directores y gerentes de servicios de bienestar social, comunitario y correccional / Directoras y gerentas de servicios de bienestar social, comunitario y correccional;6;Gestión del talento humano y de personal;
1;13440;Directores y gerentes de servicios de bienestar social, comunitario y correccional / Directoras y gerentas de servicios de bienestar social, comunitario y correccional;28;Leyes y gobierno;
1;13440;Directores y gerentes de servicios de bienestar social, comunitario y correccional / Directoras y gerentas de servicios de bienestar social, comunitario y correccional;5;Servicio al cliente;
1;13440;Directores y gerentes de servicios de bienestar social, comunitario y correccional / Directoras y gerentas de servicios de bienestar social, comunitario y correccional;18;Sicología / psicología;
1;13440;Directores y gerentes de servicios de bienestar social, comunitario y correccional / Directoras y gerentas de servicios de bienestar social, comunitario y correccional;93;Trabajo social;
1;13451;Directores y gerentes de programas de política educativa / Directoras y gerentas de programas de política educativa;60;Ciencias políticas y educación cívica;
1;13451;Directores y gerentes de programas de política educativa / Directoras y gerentas de programas de política educativa;22;Educación y capacitación;
1;13451;Directores y gerentes de programas de política educativa / Directoras y gerentas de programas de política educativa;1;Gerencia y administración;
1;13451;Directores y gerentes de programas de política educativa / Directoras y gerentas de programas de política educativa;6;Gestión del talento humano y de personal;
1;13451;Directores y gerentes de programas de política educativa / Directoras y gerentas de programas de política educativa;28;Leyes y gobierno;
1;13451;Directores y gerentes de programas de política educativa / Directoras y gerentas de programas de política educativa;5;Servicio al cliente;
