"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;;
Código del Gran Grupo;Código de la Ocupación;Nombre de la Ocupación;Código de la Ocupación Afin;Nombre de la Ocupación Afin;
2;21141;Geólogos, geofísicos y geoquímicos / Geólogas, geofísicas y geoquímicas;12230;Directores y gerentes de ingeniería, investigación y desarrollo / Directoras y gerentas de ingeniería, investigación y desarrollo;
2;21141;Geólogos, geofísicos y geoquímicos / Geólogas, geofísicas y geoquímicas;21110;Físicos y astrónomos / Físicas y astrónomas;
2;21141;Geólogos, geofísicos y geoquímicos / Geólogas, geofísicas y geoquímicas;21130;Químicos / Químicas;
2;21141;Geólogos, geofísicos y geoquímicos / Geólogas, geofísicas y geoquímicas;21310;Biólogos, botánicos, zoólogos y afines / Biólogas, botánicas, zoólogas y afines;
2;21141;Geólogos, geofísicos y geoquímicos / Geólogas, geofísicas y geoquímicas;21420;Ingenieros civiles / Ingenieras civiles;
2;21141;Geólogos, geofísicos y geoquímicos / Geólogas, geofísicas y geoquímicas;21461;Ingenieros de minas / Ingenieras de minas;
2;21141;Geólogos, geofísicos y geoquímicos / Geólogas, geofísicas y geoquímicas;31112;Técnicos en geología / Técnicas en geología;
2;21142;Gemólogos / Gemólogas;21141;Geólogos, geofísicos y geoquímicos / Geólogas, geofísicas y geoquímicas;
2;21142;Gemólogos / Gemólogas;73610;Joyeros / Joyeras;
2;21143;Oceanógrafos / Oceanógrafas;21141;Geólogos, geofísicos y geoquímicos / Geólogas, geofísicas y geoquímicas;
2;21143;Oceanógrafos / Oceanógrafas;21650;Cartógrafos e ingenieros topográficos y catastrales / Cartógrafas e ingenieras topográficas y catastrales;
2;21200;Matemáticos, actuarios y estadísticos / Matemáticas, actuarias y estadísticas;12111;Directores y gerentes financieros / Directoras y gerentas financieras;
2;21200;Matemáticos, actuarios y estadísticos / Matemáticas, actuarias y estadísticas;24111;Contadores / Contadoras;
2;21200;Matemáticos, actuarios y estadísticos / Matemáticas, actuarias y estadísticas;24120;Asesores financieros y de inversiones / Asesoras financieras y de inversiones;
2;21200;Matemáticos, actuarios y estadísticos / Matemáticas, actuarias y estadísticas;24130;Analistas financieros / Analistas financieras;
2;21200;Matemáticos, actuarios y estadísticos / Matemáticas, actuarias y estadísticas;25190;Desarrolladores y analistas de software y multimedia no clasificados en otras ocupaciones / Desarrolladoras y analistas de software y multimedia no clasificadas en otras ocupaciones;
2;21200;Matemáticos, actuarios y estadísticos / Matemáticas, actuarias y estadísticas;33110;Agentes de bolsa, cambio y otros servicios financieros;
2;21200;Matemáticos, actuarios y estadísticos / Matemáticas, actuarias y estadísticas;33140;Técnicos y profesionales del nivel medio de servicios estadísticos, matemáticos y afines / Técnicas y profesionales del nivel medio de servicios estadísticos, matemáticos y afines;
2;21200;Matemáticos, actuarios y estadísticos / Matemáticas, actuarias y estadísticas;43121;Auxiliares de servicios estadísticos y financieros;
2;21200;Matemáticos, actuarios y estadísticos / Matemáticas, actuarias y estadísticas;44130;Codificadores de datos, correctores de pruebas de imprenta y afines / Codificadoras de datos, correctores de pruebas de imprenta y afines;
2;21310;Biólogos, botánicos, zoólogos y afines / Biólogas, botánicas, zoólogas y afines;12230;Directores y gerentes de ingeniería, investigación y desarrollo / Directoras y gerentas de ingeniería, investigación y desarrollo;
2;21310;Biólogos, botánicos, zoólogos y afines / Biólogas, botánicas, zoólogas y afines;21130;Químicos / Químicas;
2;21310;Biólogos, botánicos, zoólogos y afines / Biólogas, botánicas, zoólogas y afines;21200;Matemáticos, actuarios y estadísticos / Matemáticas, actuarias y estadísticas;
2;21310;Biólogos, botánicos, zoólogos y afines / Biólogas, botánicas, zoólogas y afines;21321;Agrónomos, agroecólogos, agrícolas, pecuarios y zootecnistas / Agrónomas, agroecólogas, agrícolas, pecuarias y zootecnistas;
2;21310;Biólogos, botánicos, zoólogos y afines / Biólogas, botánicas, zoólogas y afines;21322;Silvicultores y forestales / Silvicultoras y forestales;
2;21310;Biólogos, botánicos, zoólogos y afines / Biólogas, botánicas, zoólogas y afines;21331;Profesionales ambientales y ecologistas;
