Código del Gran Grupo;Nombre del Gran Grupo;Código del Subgrupo Principal;Nombre del Subgrupo Principal;Código del Subgrupo;Nombre del Subgrupo;Código del Grupo Primario;Nombre del Grupo Primario;Código de la Ocupación;Nombre de la Ocupación;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;215;Ingenieros en electrotecnología;2153;Ingenieros de telecomunicaciones, audio y sonido;21532;Ingenieros y productores de audio y sonido / Ingenieras y productoras de audio y sonido;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;216;Arquitectos, planificadores, topógrafos y diseñadores;2161;Arquitectos;21610;Arquitectos / Arquitectas;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;216;Arquitectos, planificadores, topógrafos y diseñadores;2162;Arquitectos paisajistas;21620;Arquitectos paisajistas / Arquitectas paisajistas;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;216;Arquitectos, planificadores, topógrafos y diseñadores;2163;Diseñadores industriales, de moda, espacios y servicios;21631;Diseñadores industriales y de productos / Diseñadoras industriales y de productos;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;216;Arquitectos, planificadores, topógrafos y diseñadores;2163;Diseñadores industriales, de moda, espacios y servicios;21632;Diseñadores de vestuario y moda / Diseñadoras de vestuario y moda;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;216;Arquitectos, planificadores, topógrafos y diseñadores;2163;Diseñadores industriales, de moda, espacios y servicios;21633;Diseñadores de espacios / Diseñadoras de espacios;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;216;Arquitectos, planificadores, topógrafos y diseñadores;2163;Diseñadores industriales, de moda, espacios y servicios;21634;Diseñadores de servicios / Diseñadoras de servicios;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;216;Arquitectos, planificadores, topógrafos y diseñadores;2163;Diseñadores industriales, de moda, espacios y servicios;21635;Diseñadores de iluminación / Diseñadoras de iluminación;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;216;Arquitectos, planificadores, topógrafos y diseñadores;2164;Planificadores urbanos, regionales y de tránsito;21640;Planificadores urbanos, regionales y de tránsito / Planificadoras urbanas, regionales y de tránsito;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;216;Arquitectos, planificadores, topógrafos y diseñadores;2165;Cartógrafos e ingenieros topográficos y catastrales;21650;Cartógrafos e ingenieros topográficos y catastrales / Cartógrafas e ingenieras topográficas y catastrales;
