"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;;
Código del Gran Grupo;Código de la Ocupación;Nombre de la Ocupación;SIGLA;Área de Cualificación Complementaria;
2;26432;Traductores e intérpretes de lenguas nativas / Traductoras e intérpretes de lenguas nativas;SEPC;Servicios Personales y a la Comunidad;
2;26433;Intérpretes de lengua de señas;SEPC;Servicios Personales y a la Comunidad;
2;26434;Guías-intérpretes;SEPC;Servicios Personales y a la Comunidad;
2;26511;Artistas plásticos y visuales / Artistas plásticas y visuales;AVPP;Artes visuales, plásticas y del patrimonio cultural;
2;26511;Artistas plásticos y visuales / Artistas plásticas y visuales;LIAG;Literatura y artes gráficas;
2;26531;Compositores coreográficos e intérpretes de danza / Compositoras coreográficas e intérpretes de danza;AVPP;Artes visuales, plásticas y del patrimonio cultural;
2;26532;Bailarines y otros ejecutantes de la danza / Bailarinas y otras ejecutantes de la danza;AVPP;Artes visuales, plásticas y del patrimonio cultural;
2;26541;Productores, directores y editores de cine, teatro y afines / Productoras, directoras y editoras de cine, teatro y afines;AVPP;Artes visuales, plásticas y del patrimonio cultural;
2;26541;Productores, directores y editores de cine, teatro y afines / Productoras, directoras y editoras de cine, teatro y afines;TICO;Tecnologías de la información y las comunicaciones;
2;26542;Productores de campo para las artes escénicas y audiovisuales / Productoras de campo para las artes escénicas y audiovisuales;AVPP;Artes visuales, plásticas y del patrimonio cultural;
2;26542;Productores de campo para las artes escénicas y audiovisuales / Productoras de campo para las artes escénicas y audiovisuales;TICO;Tecnologías de la información y las comunicaciones;
2;26591;Artistas creativos y ejecutantes de técnicas circenses / Artistas creativas y ejecutantes de técnicas circenses;AVPP;Artes visuales, plásticas y del patrimonio cultural;
2;26599;Artistas creativos e interpretativos no clasificados en otras ocupaciones / Artistas creativas e interpretativas no clasificadas en otras ocupaciones;AVPP;Artes visuales, plásticas y del patrimonio cultural;
3;31111;Técnicos en física y química / Técnicas en física y química;INQU;Industria química;
3;31113;Técnicos en meteorología / Técnicas en meteorología;CPSA;Conservación, protección y saneamiento ambiental;
3;31121;Técnicos en construcción y arquitectura / Técnicas en construcción y arquitectura;AFDE;Administración, finanzas y derecho;
3;31121;Técnicos en construcción y arquitectura / Técnicas en construcción y arquitectura;AVPP;Artes visuales, plásticas y del patrimonio cultural;
3;31121;Técnicos en construcción y arquitectura / Técnicas en construcción y arquitectura;CNME;Ciencias naturales, matemáticas y estadística;
3;31121;Técnicos en construcción y arquitectura / Técnicas en construcción y arquitectura;CPSA;Conservación, protección y saneamiento ambiental;
3;31122;Técnicos en topografía / Técnicas en topografía;CNME;Ciencias naturales, matemáticas y estadística;
3;31122;Técnicos en topografía / Técnicas en topografía;PEEL;Producción de energía y electricidad;
3;31123;Técnicos en cartografía / Técnicas en cartografía;CNME;Ciencias naturales, matemáticas y estadística;
3;31130;Técnicos en electricidad / Técnicas en electricidad;ELCA;Electrónica y automatización;
3;31130;Técnicos en electricidad / Técnicas en electricidad;FAMA;Fabricación, transformación de materiales, instalación, mantenimiento y reparación;
3;31130;Técnicos en electricidad / Técnicas en electricidad;SABI;Salud y bienestar;
3;31150;Técnicos en ingeniería mecánica / Técnicas en ingeniería mecánica;CNME;Ciencias naturales, matemáticas y estadística;
