code,municipality,type
19780,SUÁREZ,Municipio
19785,SUCRE,Municipio
19807,TIMBÍO,Municipio
19809,TIMBIQUÍ,Municipio
19821,TORIBÍO,Municipio
19824,TOTORÓ,Municipio
19845,VILLA RICA,Municipio
20001,VALLEDUPAR,Municipio
20011,AGUACHICA,Municipio
20013,AGUSTÍN CODAZZI,Municipio
20032,ASTREA,Municipio
20045,BECERRIL,Municipio
20060,BOSCONIA,Municipio
20175,CHIMICHAGUA,Municipio
20178,CHIRIGUANÁ,Municipio
20228,CURUMANÍ,Municipio
20238,EL COPEY,Municipio
20250,EL PASO,Municipio
20295,GAMARRA,Municipio
20310,GONZÁLEZ,Municipio
20383,LA GLORIA,Municipio
20400,LA JAGUA DE IBIRICO,Municipio
20443,MANAURE BALCÓN DEL CESAR,Municipio
20517,PAILITAS,Municipio
20550,PELAYA,Municipio
20570,PUEBLO BELLO,Municipio
20614,RÍO DE ORO,Municipio
20621,LA PAZ,Municipio
20710,SAN ALBERTO,Municipio
20750,SAN DIEGO,Municipio
20770,SAN MARTÍN,Municipio
20787,TAMALAMEQUE,Municipio
23001,MONTERÍA,Municipio
23068,AYAPEL,Municipio
23079,BUENAVISTA,Municipio
23090,CANALETE,Municipio
23162,CERETÉ,Municipio
23168,CHIMÁ,Municipio
23182,CHINÚ,Municipio
23189,CIÉNAGA DE ORO,Municipio
23300,COTORRA,Municipio
23350,LA APARTADA,Municipio
23417,LORICA,Municipio
23419,LOS CÓRDOBAS,Municipio
23464,MOMIL,Municipio
23466,MONTELÍBANO,Municipio
23500,MOÑITOS,Municipio
23555,PLANETA RICA,Municipio
23570,PUEBLO NUEVO,Municipio
23574,PUERTO ESCONDIDO,Municipio
23580,PUERTO LIBERTADOR,Municipio
23586,PURÍSIMA DE LA CONCEPCIÓN,Municipio
23660,SAHAGÚN,Municipio
23670,SAN ANDRÉS DE SOTAVENTO,Municipio
23672,SAN ANTERO,Municipio
23675,SAN BERNARDO DEL VIENTO,Municipio
23678,SAN CARLOS,Municipio
23682,SAN JOSÉ DE URÉ,Municipio
23686,SAN PELAYO,Municipio
23807,TIERRALTA,Municipio
23815,TUCHÍN,Municipio
23855,VALENCIA,Municipio
25001,AGUA DE DIOS,Municipio
25019,ALBÁN,Municipio
25035,ANAPOIMA,Municipio
25040,ANOLAIMA,Municipio
25053,ARBELÁEZ,Municipio
25086,BELTRÁN,Municipio
